run:
The Start time is: 02.11.2017 - 00:09:58 and  229ms
### Start ###
Eingabe Plaintext: 	 {p1 =  9, p2 = 20}
Ciphertext: 		 {p1 = 25, p2 = 11}

Schlüssel #  1 gefunden: {a11 =  1, a12 =  6, a21 =  1, a22 =  4}, Determinante:   -2 =  24 (mod 26), Invertierbar: false
Schlüssel #  2 gefunden: {a11 =  1, a12 =  6, a21 =  1, a22 = 17}, Determinante:   11 =  11 (mod 26), Invertierbar:  true
Schlüssel #  3 gefunden: {a11 =  1, a12 =  6, a21 =  3, a22 =  7}, Determinante:  -11 =  15 (mod 26), Invertierbar:  true
Schlüssel #  4 gefunden: {a11 =  1, a12 =  6, a21 =  3, a22 = 20}, Determinante:    2 =   2 (mod 26), Invertierbar: false
Schlüssel #  5 gefunden: {a11 =  1, a12 =  6, a21 =  5, a22 = 10}, Determinante:  -20 =   6 (mod 26), Invertierbar: false
Schlüssel #  6 gefunden: {a11 =  1, a12 =  6, a21 =  5, a22 = 23}, Determinante:   -7 =  19 (mod 26), Invertierbar:  true
Schlüssel #  7 gefunden: {a11 =  1, a12 =  6, a21 =  7, a22 =  0}, Determinante:  -42 =  10 (mod 26), Invertierbar: false
Schlüssel #  8 gefunden: {a11 =  1, a12 =  6, a21 =  7, a22 = 13}, Determinante:  -29 =  23 (mod 26), Invertierbar:  true
Schlüssel #  9 gefunden: {a11 =  1, a12 =  6, a21 =  9, a22 =  3}, Determinante:  -51 =   1 (mod 26), Invertierbar:  true
Schlüssel # 10 gefunden: {a11 =  1, a12 =  6, a21 =  9, a22 = 16}, Determinante:  -38 =  14 (mod 26), Invertierbar: false
Schlüssel # 11 gefunden: {a11 =  1, a12 =  6, a21 = 11, a22 =  6}, Determinante:  -60 =  18 (mod 26), Invertierbar: false
Schlüssel # 12 gefunden: {a11 =  1, a12 =  6, a21 = 11, a22 = 19}, Determinante:  -47 =   5 (mod 26), Invertierbar:  true
Schlüssel # 13 gefunden: {a11 =  1, a12 =  6, a21 = 13, a22 =  9}, Determinante:  -69 =   9 (mod 26), Invertierbar:  true
Schlüssel # 14 gefunden: {a11 =  1, a12 =  6, a21 = 13, a22 = 22}, Determinante:  -56 =  22 (mod 26), Invertierbar: false
Schlüssel # 15 gefunden: {a11 =  1, a12 =  6, a21 = 15, a22 = 12}, Determinante:  -78 =   0 (mod 26), Invertierbar: false
Schlüssel # 16 gefunden: {a11 =  1, a12 =  6, a21 = 15, a22 = 25}, Determinante:  -65 =  13 (mod 26), Invertierbar: false
Schlüssel # 17 gefunden: {a11 =  1, a12 =  6, a21 = 17, a22 =  2}, Determinante: -100 =   4 (mod 26), Invertierbar: false
Schlüssel # 18 gefunden: {a11 =  1, a12 =  6, a21 = 17, a22 = 15}, Determinante:  -87 =  17 (mod 26), Invertierbar:  true
Schlüssel # 19 gefunden: {a11 =  1, a12 =  6, a21 = 19, a22 =  5}, Determinante: -109 =  21 (mod 26), Invertierbar:  true
Schlüssel # 20 gefunden: {a11 =  1, a12 =  6, a21 = 19, a22 = 18}, Determinante:  -96 =   8 (mod 26), Invertierbar: false
Schlüssel # 21 gefunden: {a11 =  1, a12 =  6, a21 = 21, a22 =  8}, Determinante: -118 =  12 (mod 26), Invertierbar: false
